latitude,longitude,date,currentlevel,B02,B03,B04,B08,B11,B12,NDVI,IOI,CMI,currentlevel_ft
11.26944,77.01667,2014-05-14,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.3624
11.26944,77.01667,2014-08-24,63.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.26077
11.26944,77.01667,2015-01-04,33.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.30581
11.26944,77.01667,2015-05-14,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2919
11.26944,77.01667,2015-08-24,28.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.90222000000001
11.26944,77.01667,2015-11-04,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5117
11.26944,77.01667,2016-08-24,59.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.76157
11.26944,77.01667,2016-11-04,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.025
11.26944,77.01667,2017-01-04,64.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.11665000000002
11.26944,77.01667,2017-05-14,65.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.72575
11.26944,77.01667,2017-11-04,47.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.37105
11.26944,77.01667,2018-05-04,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.67000000000002
11.26944,77.01667,2018-11-16,41.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.04596
11.26944,77.01667,2019-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.3,76.95,2013-01-04,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.828520000000005
11.3,76.95,2013-11-04,10.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.07248
10.73333,77.02917,2018-01-21,10.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.05678
10.73333,77.02917,2018-08-29,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.89292
10.73333,77.02917,2018-11-16,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.530600000000002
10.73333,77.02917,2019-01-26,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.66325
10.73333,77.02917,2019-01-29,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.08978
10.73333,77.02917,2019-05-29,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.40641
10.73333,77.02917,2019-08-29,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.80878
10.73333,77.02917,2019-11-29,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.10548
10.73333,77.02917,2020-01-09,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.63185
